name,city,wiki,birth_date
Aczél Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1967.03.13
Ádám Martin,Szeged,https://hu.wikipedia.org/wiki/Szeged,1994.11.06
Ádám Sándor,?,,1918.02.10
Aknai Jenő,Budapest,https://hu.wikipedia.org/wiki/Budapest,1908.04.19
Albert Flórián,Hercegszántó,https://hu.wikipedia.org/wiki/Hercegszántó,1941.09.15
Albert Flórián ifj.,Budapest,https://hu.wikipedia.org/wiki/Budapest,1967.12.12
Amsel Ignác,Kispest,https://hu.wikipedia.org/wiki/Kispest,1899.01.17
Andrusch József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1956.03.31
Arany László,Tatabánya,https://hu.wikipedia.org/wiki/Tatabánya,1971.03.09
Aranyos Imre,Kisvárda,https://hu.wikipedia.org/wiki/Kisvárda,1966.06.13
Aspirány Gusztáv,Budapest,https://hu.wikipedia.org/wiki/Budapest,1925.09.17
Avar István,Arad,https://hu.wikipedia.org/wiki/Arad,1905.05.30
Babolcsay György,Sashalom,https://hu.wikipedia.org/wiki/Sashalom,1921.12.26
Babos Gábor,Sopron,https://hu.wikipedia.org/wiki/Sopron,1974.10.24
Bácsi Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1969.11.26
Bádonyi Gyula,Szerencs,https://hu.wikipedia.org/wiki/Szerencs,1882.09.17
Bakó Béla,Szeged,https://hu.wikipedia.org/wiki/Szeged,1928.11.19
Bakos Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1939.08.02
Bálint László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1948.02.01
Balog Tibor,Kakucs,https://hu.wikipedia.org/wiki/Kakucs,1966.03.01
Balog Tibor,Kiskunmajsa,https://hu.wikipedia.org/wiki/Kiskunmajsa,1963.08.31
Balog Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1967.11.06
Balog Zoltán,Békés,https://hu.wikipedia.org/wiki/Békés,1978.02.22
Balogh Balázs,Budapest,https://hu.wikipedia.org/wiki/Budapest,1990.06.11
Balogh Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1984.12.30
Balogh Botond,Sopron,https://hu.wikipedia.org/wiki/Sopron,2002.06.06
Balogh István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1912.09.21
Balogh János,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1982.11.29
