name,city,wiki,birth_date
Disztl Péter,Baja,https://hu.wikipedia.org/wiki/Baja,1960.03.30
Dobó Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.10.09
Dobos Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.11.29
Dombi Tibor,Püspökladány,https://hu.wikipedia.org/wiki/Püspökladány,1973.11.11
Domonkos László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1886.10.10
Dragóner Attila,Budapest,https://hu.wikipedia.org/wiki/Budapest,1974.11.15
Drössler Béla,?,,1903.02.23
Dudás Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.01.07
Dudás János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1911.01.11
Dudás Zoltán,Miskolc,https://hu.wikipedia.org/wiki/Miskolc,1933.08.11
Dunai Antal,Gara,https://hu.wikipedia.org/wiki/Gara,1943.03.21
Dunai Ede,Budapest,https://hu.wikipedia.org/wiki/Budapest,1949.07.14
Dunai János,Gara,https://hu.wikipedia.org/wiki/Gara,1937.06.26
Dunai Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1942.11.29
Duró József,Berettyóújfalu,https://hu.wikipedia.org/wiki/Berettyóújfalu,1966.07.26
Dürr Antal,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.05.13
Dvéri Zsolt,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1976.08.12
Dzsudzsák Balázs,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1986.12.23
Ebedli Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1953.10.26
Éger László,Paks,https://hu.wikipedia.org/wiki/Paks,1977.05.07
Egresi Béla,Szigetújfalu,https://hu.wikipedia.org/wiki/Szigetújfalu,1922.04.05
Egressy Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1974.02.11
Eisenhoffer József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1900.11.08
Elek Ákos,Ózd,https://hu.wikipedia.org/wiki/Ózd,1988.07.21
Emődi Rezső,Újpest,https://hu.wikipedia.org/wiki/Újpest,1903.03.09
Engel Vilmos,?,,1894.03.11
Eőry Mihály,Nagykamarás,https://hu.wikipedia.org/wiki/Nagykamarás,1909.09.21
Eppel Márton,Budapest,https://hu.wikipedia.org/wiki/Budapest,1991.11.20
Erős Károly,Cegléd,https://hu.wikipedia.org/wiki/Cegléd,1971.12.20
Esterházy Márton,Budapest,https://hu.wikipedia.org/wiki/Budapest,1956.04.09
Eszenyi Dénes,Nyíregyháza,https://hu.wikipedia.org/wiki/Nyíregyháza,1968.01.09
Fábián Tibor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1946.07.26
Faragó Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1932.08.03
Farkas Balázs,Nyíregyháza,https://hu.wikipedia.org/wiki/Nyíregyháza,1988.04.24
Farkas Balázs,Győr,https://hu.wikipedia.org/wiki/Győr,1979.10.15
Farkas János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1942.03.27
Farkas Simon,Ózd,https://hu.wikipedia.org/wiki/Ózd,1965.12.14
Farkas Tibor,Kecskemét,https://hu.wikipedia.org/wiki/Kecskemét,1957.03.04
Farkasházy László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1968.01.27
Fatér Károly,Nyírlak,,1940.04.09
Fazekas Árpád,Kámon,https://hu.wikipedia.org/wiki/Kámon,1930.06.23
Fazekas László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1947.10.15
Feczesin Róbert,Dabas,https://hu.wikipedia.org/wiki/Dabas,1986.02.22
Fehér Csaba,Szekszárd,https://hu.wikipedia.org/wiki/Szekszárd,1975.09.02
Fehér Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.10.03
Fehér Miklós,Tatabánya,https://hu.wikipedia.org/wiki/Tatabánya,1979.07.20
Fehéry Ákos,Fót,https://hu.wikipedia.org/wiki/Fót,1882.08.15
Fejes Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1947.04.08
Fekete Jenő,Budapest,https://hu.wikipedia.org/wiki/Budapest,1910.07.28
Fekete László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1954.04.14
Fekete Miklós,Budapest,https://hu.wikipedia.org/wiki/Budapest,1892.02.10
Feketeházy Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1888.08.04
Feldmann Gyula,Szeged,https://hu.wikipedia.org/wiki/Szeged,1890.11.16
Fenyvesi László,Tolcsva,https://hu.wikipedia.org/wiki/Tolcsva,1908.05.22
Fenyvesi Máté,Jánoshalma,https://hu.wikipedia.org/wiki/Jánoshalma,1933.09.19
Ferenczi István,Győr,https://hu.wikipedia.org/wiki/Győr,1977.09.14
Ferenczi János,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1991.04.03
Ficzere Péter,Budapest,https://hu.wikipedia.org/wiki/Budapest,1889.06.08
Filkor Attila,Budapest,https://hu.wikipedia.org/wiki/Budapest,1988.07.12
Finta Károly,Nagygencs,https://hu.wikipedia.org/wiki/Nagygencs,1914.06.11
Fiola Attila,Szekszárd,https://hu.wikipedia.org/wiki/Szekszárd,1990.02.17
Fischer Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.03.18
Fischer Pál,Pilisszántó,https://hu.wikipedia.org/wiki/Pilisszántó,1966.01.29
Fister Ferenc,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1940.02.23
Fitos József,Nova,https://hu.wikipedia.org/wiki/Nova,1959.11.04
Fodor Imre,Budapest,https://hu.wikipedia.org/wiki/Budapest,1963.03.16
Fogl József,Újpest,https://hu.wikipedia.org/wiki/Újpest,1897.08.14
Fogl Károly,Újpest,https://hu.wikipedia.org/wiki/Újpest,1895.01.19
Forró Gyula,Orosháza,https://hu.wikipedia.org/wiki/Orosháza,1988.06.06
Friedrich István,Malacka,https://hu.wikipedia.org/wiki/Malacka,1883.07.01
Fritz Alajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1885.06.21
Fröhlich Sándor,?,,1897.09.11
Füle Antal,Esztergom,https://hu.wikipedia.org/wiki/Esztergom,1966.11.26
Fülöp Márton,Budapest,https://hu.wikipedia.org/wiki/Budapest,1983.05.03
Furmann Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.11.19
Futács Márkó,Budapest,https://hu.wikipedia.org/wiki/Budapest,1990.02.22
Futó Gyula,Újpest,https://hu.wikipedia.org/wiki/Újpest,1908.12.29
Füzér János,Temesvár,https://hu.wikipedia.org/wiki/Temesvár,1916.10.17
Füzi Ákos,Kapuvár,https://hu.wikipedia.org/wiki/Kapuvár,1978.03.24
Füzi Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1916.10.15
G. Tóth Péter,Battonya,https://hu.wikipedia.org/wiki/Battonya,1913.02.01
Gabrovitz Emil,Budapest,https://hu.wikipedia.org/wiki/Budapest,1876.02.09
Gallina Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1907.11.05
Garaba Imre,Vác,https://hu.wikipedia.org/wiki/Vác,1958.07.29
Gáspár József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1955.06.28
Gazdag Dániel,Nyíregyháza,https://hu.wikipedia.org/wiki/Nyíregyháza,1996.03.02
Géczi István,Sajóörös,https://hu.wikipedia.org/wiki/Sajóörös,1944.03.16
Gelei József,Kunmadaras,https://hu.wikipedia.org/wiki/Kunmadaras,1938.06.29
Gelei Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1964.12.07
Gellér Sándor,Vesszős,https://hu.wikipedia.org/wiki/Vesszős,1925.07.12
Gencsy Dezső,Budapest,https://hu.wikipedia.org/wiki/Budapest,1897.11.02
Gera Zoltán,Pécs,https://hu.wikipedia.org/wiki/Pécs,1979.04.22
Géresi Krisztián,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1994.06.14
Geress Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1970.06.12
Gilicz István,Kaposvár,https://hu.wikipedia.org/wiki/Kaposvár,1934.08.20
Gilly-Goldberger Pál,Bécs,https://hu.wikipedia.org/wiki/Bécs,1881.01.14
Ging József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1891.11.27
Gőcze Sándor,Tapolca,https://hu.wikipedia.org/wiki/Tapolca,1921.11.29
Godán Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1952.01.21
Göröcs János,Gánt,https://hu.wikipedia.org/wiki/Gánt,1939.05.08
Gorszky Tivadar,Budapest,https://hu.wikipedia.org/wiki/Budapest,1883.10.24
Gregor József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1963.11.30
Grosics Gyula,Dorog,https://hu.wikipedia.org/wiki/Dorog,1926.02.04
Grósz Dezső,Baja,https://hu.wikipedia.org/wiki/Baja,1898.09.19
Grósz József,?,,1883.11.15
Gujdár Sándor,Szentes,https://hu.wikipedia.org/wiki/Szentes,1951.11.08
Gulácsi Péter,Budapest,https://hu.wikipedia.org/wiki/Budapest,1990.05.06
Guttmann Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1899.01.27
Guzmics Richárd,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1987.04.16
Gyarmati János,Tápiószele,https://hu.wikipedia.org/wiki/Tápiószele,1910.02.08
Gyepes Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1981.06.26
Gyetvai László,Zólyom,https://hu.wikipedia.org/wiki/Zólyom,1918.12.11
Gyimesi László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1957.09.08
Gyömbér Gábor,Makó,https://hu.wikipedia.org/wiki/Makó,1988.02.27
Győri János,Komló,https://hu.wikipedia.org/wiki/Komló,1976.09.10
Győri József,?,,1910.09.03
Gyurcsó Ádám,Tatabánya,https://hu.wikipedia.org/wiki/Tatabánya,1991.03.06
Gyurik László,Szeged,https://hu.wikipedia.org/wiki/Szeged,1925.07.05
Háda József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1911.03.02
Hahn Árpád,Paks,https://hu.wikipedia.org/wiki/Paks,1965.03.12
Hahn János,Szekszárd,https://hu.wikipedia.org/wiki/Szekszárd,1995.03.15
Hajdu Attila,Budapest,https://hu.wikipedia.org/wiki/Budapest,1971.04.13
Hajnal Tamás,Esztergom,https://hu.wikipedia.org/wiki/Esztergom,1981.03.15
Hajós Alfréd,Budapest,https://hu.wikipedia.org/wiki/Budapest,1878.02.01
Hajós Árpád,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.03.15
Hajszán Gyula,Sopron,https://hu.wikipedia.org/wiki/Sopron,1961.10.09
Halász István,Rakamaz,https://hu.wikipedia.org/wiki/Rakamaz,1951.10.12
Halmai Gábor,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1972.01.07
Halmosi Péter,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1979.09.25
Halmosi Zoltán,Bozzai,https://hu.wikipedia.org/wiki/Bozzai,1947.06.28
Hamar István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1970.10.06
Hámori Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1972.10.14
Hámori László,Tapolca,https://hu.wikipedia.org/wiki/Tapolca,1914.03.29
Handel György,Budapest,https://hu.wikipedia.org/wiki/Budapest,1959.03.20
Hangya Szilveszter,Baja,https://hu.wikipedia.org/wiki/Baja,1994.01.02
Hannich Péter,Győr,https://hu.wikipedia.org/wiki/Győr,1957.03.30
Harangozó Sándor,Kispest,https://hu.wikipedia.org/wiki/Kispest,1913.02.05
Harsányi László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1951.03.13
Heffler Tibor,Dunaújváros,https://hu.wikipedia.org/wiki/Dunaújváros,1987.05.17
Hegedűs András,Budapest,https://hu.wikipedia.org/wiki/Budapest,1922.10.25
Hegyi Sándor,Dombóvár,https://hu.wikipedia.org/wiki/Dombóvár,1932.04.03
Henni Géza,Szarvas,https://hu.wikipedia.org/wiki/Szarvas,1926.07.15
Hercegfalvi Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1979.12.31
Herczeg Miklós,Zalaszentgrót,https://hu.wikipedia.org/wiki/Zalaszentgrót,1974.03.26
Herédi Attila,Jánoshalma,https://hu.wikipedia.org/wiki/Jánoshalma,1959.01.02
Hidegkuti Nándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1922.03.03
Himmer Rezső,Budapest,https://hu.wikipedia.org/wiki/Budapest,1900.05.14
Híres Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.11.21
Híres Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1958.02.26
Hlavay György,Budapest,https://hu.wikipedia.org/wiki/Budapest,1888.01.04
Holender Filip,Kragujevac,https://hu.wikipedia.org/wiki/Kragujevac,1994.07.27
Holits Ödön,Tura,https://hu.wikipedia.org/wiki/Tura,1886.12.07
Holman Dávid,Budapest,https://hu.wikipedia.org/wiki/Budapest,1993.03.17
Holzbauer József,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1900.07.22
Hönich Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1887.09.25
Hóri György,?,,1908.02.03
Horváth András,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1980.08.06
Horváth Attila,Zalaegerszeg,https://hu.wikipedia.org/wiki/Zalaegerszeg,1971.01.23
Horváth Csaba,Budapest,https://hu.wikipedia.org/wiki/Budapest,1969.03.07
Horváth Ferenc,,,1914
Horváth Ferenc,Szolnok,https://hu.wikipedia.org/wiki/Szolnok,1920.08.15
Horváth Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1973.05.06
Horváth Gábor,Székesfehérvár,https://hu.wikipedia.org/wiki/Székesfehérvár,1985.07.04
Horváth György,Körmend,https://hu.wikipedia.org/wiki/Körmend,1929.03.07
Horváth Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1888.12.13
Horváth József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1949.05.21
Horváth József,?,,1890.09.25
Horváth Károly,Gyula,https://hu.wikipedia.org/wiki/Gyula,1920.08.28
Horváth Krisztofer,Hévíz,https://hu.wikipedia.org/wiki/Hévíz,2002.01.08
Horváth László,Körmend,https://hu.wikipedia.org/wiki/Körmend,1901.09.03
Hrepka Ádám,Szeged,https://hu.wikipedia.org/wiki/Szeged,1987.04.15
Hrutka János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1974.10.26
Huber Rezső,?,,1903.09.03
Hungler János,Budapest,https://hu.wikipedia.org/wiki/Budapest,1900.12.19
Huszti Szabolcs,Miskolc,https://hu.wikipedia.org/wiki/Miskolc,1983.04.18
Ihász Kálmán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1941.03.06
Ilku István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1933.03.06
Illés Béla,Sárvár,https://hu.wikipedia.org/wiki/Sárvár,1968.04.27
Illovszky Rudolf,Budapest,https://hu.wikipedia.org/wiki/Budapest,1922.02.21
Ivanics László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1966.11.01
Izsó Ignác,Tarján,https://hu.wikipedia.org/wiki/Tarján,1956.02.22
Izsó László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1886.07.22
Jagodics Zoltán,Kőszeg,https://hu.wikipedia.org/wiki/Kőszeg,1969.07.29
Jancsika Károly,Gödöllő,https://hu.wikipedia.org/wiki/Gödöllő,1955.11.13
Jávor Pál,Újpest,https://hu.wikipedia.org/wiki/Újpest,1907.02.05
Jelinek Tivadar,Budapest,https://hu.wikipedia.org/wiki/Budapest,1898.02.21
Jeny Rudolf,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.03.02
Jeszmás József,Bécs,https://hu.wikipedia.org/wiki/Bécs,1897.02.08
Jován Róbert,Budapest,https://hu.wikipedia.org/wiki/Budapest,1967.11.04
Józsa Zoltán,Mezőkovácsháza,https://hu.wikipedia.org/wiki/Mezőkovácsháza,1924.10.01
Juhár Tamás,Sátoraljaújhely,https://hu.wikipedia.org/wiki/Sátoraljaújhely,1972.11.20
Juhász István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1945.07.17
Juhász Lajos,,,1906.08.25
Juhász Péter,Losonc,https://hu.wikipedia.org/wiki/Losonc,1948.08.03
Juhász Roland,Cegléd,https://hu.wikipedia.org/wiki/Cegléd,1983.07.01
Kabát Péter,Budapest,https://hu.wikipedia.org/wiki/Budapest,1977.09.25
Kádár Tamás,Veszprém,https://hu.wikipedia.org/wiki/Veszprém,1990.03.14
Kakas László,Ecséd,https://hu.wikipedia.org/wiki/Ecséd,1954.01.09
Kállai Lipót,Újpest,https://hu.wikipedia.org/wiki/Újpest,1912.12.27
Kalmár Jenő,Mocsolád,https://hu.wikipedia.org/wiki/Mocsolád,1908.03.21
Kalmár Zsolt,Győr,https://hu.wikipedia.org/wiki/Győr,1995.06.09
Kalocsay Géza,Beregszász,https://hu.wikipedia.org/wiki/Beregszász,1913.05.30
Kámán Attila,Zalaegerszeg,https://hu.wikipedia.org/wiki/Zalaegerszeg,1969.11.20
Kanta József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1984.03.24
Kántor Mihály,Szolnok,https://hu.wikipedia.org/wiki/Szolnok,1952.03.27
Kanyaurek István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1889.04.28
Kapcsos Vince,Budapest,https://hu.wikipedia.org/wiki/Budapest,1981.10.15
Káposzta Benő,Budapest,https://hu.wikipedia.org/wiki/Budapest,1942.06.07
Kardos Ernő,Kecskemét,https://hu.wikipedia.org/wiki/Kecskemét,1954.07.30
Kardos István,Rákosfalva,https://hu.wikipedia.org/wiki/Rákosfalva,1915.01.17
Kardos József,Nagybátony,https://hu.wikipedia.org/wiki/Nagybátony,1960.03.22
Károly Jenő,Kaposvár,https://hu.wikipedia.org/wiki/Kaposvár,1886.01.15
Károlyi József,Diósgyőr,https://hu.wikipedia.org/wiki/Diósgyőr,1925.05.25
Kárpáti Béla,Felsőgalla,https://hu.wikipedia.org/wiki/Felsőgalla,1929.09.30
Kárpáti Pál,Budapest,https://hu.wikipedia.org/wiki/Budapest,1909.01.31
Karsai László,Budapest,https://hu.wikipedia.org/wiki/Budapest,1947.12.05
Kata Mihály,Budapest,https://hu.wikipedia.org/wiki/Budapest,2002.04.13
Katona György,Budapest,https://hu.wikipedia.org/wiki/Budapest,1960.04.16
Katzer Károly,Csepel,https://hu.wikipedia.org/wiki/Csepel,1896.05.20
Katzirz Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1953.04.27
Kautzky József,Alsótold,https://hu.wikipedia.org/wiki/Alsótold,1902.10.18
Kecskés Ákos,Hódmezővásárhely,https://hu.wikipedia.org/wiki/Hódmezővásárhely,1996.01.04
Kecskés Zoltán,Budapest,https://hu.wikipedia.org/wiki/Budapest,1965.11.24
Kehrling Béla,Szepesszombat,https://hu.wikipedia.org/wiki/Szepesszombat,1891.01.25
Kékesi Rezső,Budapest,https://hu.wikipedia.org/wiki/Budapest,1958.01.11
Kelemen Béla,Kolozsvár,https://hu.wikipedia.org/wiki/Kolozsvár,1887.02.19
Kelemen Gusztáv,Budapest,https://hu.wikipedia.org/wiki/Budapest,1956.09.02
Kelemen József,Hatvan,https://hu.wikipedia.org/wiki/Hatvan,1948.05.30
Keller József,Nagykanizsa,https://hu.wikipedia.org/wiki/Nagykanizsa,1965.09.25
Kemény Tibor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1913.03.05
Kenesei Krisztián,Budapest,https://hu.wikipedia.org/wiki/Budapest,1977.01.07
Kerekes Attila,Budapest,https://hu.wikipedia.org/wiki/Budapest,1954.04.04
Kerekes György,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1956.08.08
Kerekes Zsombor,Zenta,https://hu.wikipedia.org/wiki/Zenta,1973.09.13
Kereki Zoltán,Kőszeg,https://hu.wikipedia.org/wiki/Kőszeg,1953.07.13
Keresztúri András,Cegléd,https://hu.wikipedia.org/wiki/Cegléd,1967.11.02
Kéri Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1920.02.09
Kerkez Milos,Verbász,https://hu.wikipedia.org/wiki/Verbász,2003.11.07
Kertay Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1883.09.02
Kertész Adolf,Kisfalud,https://hu.wikipedia.org/wiki/Kisfalud,1892.03.15
Kertész Géza,Budapest,https://hu.wikipedia.org/wiki/Budapest,1894.11.21
Kertész Gyula,Kiskálna,https://hu.wikipedia.org/wiki/Kiskálna,1888.02.29
Kertész Tamás,Budapest,https://hu.wikipedia.org/wiki/Budapest,1929.04.01
Kertész Vilmos,Barskisfalud,https://hu.wikipedia.org/wiki/Barskisfalud,1890.03.21
Késmárky Ákos,?,,1886.11.13
Keszthelyi Mihály,Budapest,https://hu.wikipedia.org/wiki/Budapest,1922.12.11
Kincses Mihály,Pestszentlőrinc,https://hu.wikipedia.org/wiki/Pestszentlőrinc,1918.09.01
Kiprich József,Tatabánya,https://hu.wikipedia.org/wiki/Tatabánya,1963.09.06
Kirádi Ervin,Budapest,https://hu.wikipedia.org/wiki/Budapest,1925.03.23
Király Gábor,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1976.04.01
Király Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1913.04.17
Kis Károly,Podivin,https://en.wikipedia.org/wiki/Podivin,1912.02.23
Kisalagi János,Újpest,https://hu.wikipedia.org/wiki/Újpest,1912.08.28
Kisfaludy Árpád János,Nagykanizsa,https://hu.wikipedia.org/wiki/Nagykanizsa,1884.10.18
Kispéter Mihály,Szeged,https://hu.wikipedia.org/wiki/Szeged,1919.10.09
Kiss Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.12.03
Kiss Gyula,Budapest,https://hu.wikipedia.org/wiki/Budapest,1916.05.14
Kiss Gyula,Sátoraljaújhely,https://hu.wikipedia.org/wiki/Sátoraljaújhely,1881.10.23
Kiss János,Hajdúböszörmény,https://hu.wikipedia.org/wiki/Hajdúböszörmény,1952.08.28
Kiss László,Taszár,https://hu.wikipedia.org/wiki/Taszár,1956.03.12
Kiss Sándor,Szekszárd,https://hu.wikipedia.org/wiki/Szekszárd,1956.11.02
Kiss Tamás,Győr,https://hu.wikipedia.org/wiki/Győr,2000.11.24
Kiss Tibor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1949.10.11
Kiss Zoltán,Püspökladány,https://hu.wikipedia.org/wiki/Püspökladány,1980.08.18
Kiszely István,Újpest,https://hu.wikipedia.org/wiki/Újpest,1913.12.21
Kisznyér Sándor,Kiskunfélegyháza,https://hu.wikipedia.org/wiki/Kiskunfélegyháza,1958.01.11
Klausz László,Tatabánya,https://hu.wikipedia.org/wiki/Tatabánya,1971.06.24
Kleinheisler László,Kazincbarcika,https://hu.wikipedia.org/wiki/Kazincbarcika,1994.04.08
Kleisz Márk,Budapest,https://hu.wikipedia.org/wiki/Budapest,1998.07.02
Klement Engelbert,Innsbruck,https://hu.wikipedia.org/wiki/Innsbruck,1894.11.17
Knapp Miksa,Rajka,https://hu.wikipedia.org/wiki/Rajka,1890.07.14
Koch Nándor,Kolozsvár,https://hu.wikipedia.org/wiki/Kolozsvár,1885.07.07
Kocsis Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1904.01.28
Kocsis Ferenc,?,,1891.06.29
Kocsis Géza,Pozsony,https://hu.wikipedia.org/wiki/Pozsony,1910.11.25
Kocsis István,Csorna,https://hu.wikipedia.org/wiki/Csorna,1949.10.06
Kocsis Lajos,Szeged,https://hu.wikipedia.org/wiki/Szeged,1947.06.17
Kocsis Sándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1929.09.21
Kőhalmi Gábor,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1955.10.31
Kohut Vilmos,Pestszentlőrinc,https://hu.wikipedia.org/wiki/Pestszentlőrinc,1906.07.17
Kolár Endre,Budapest,https://hu.wikipedia.org/wiki/Budapest,1950.02.17
Kolláth Ferenc,Szolnok,https://hu.wikipedia.org/wiki/Szolnok,1914.10.06
Koller Ákos,Szilágycseh,https://hu.wikipedia.org/wiki/Szilágycseh,1974.09.04
Koltai József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1882.02.07
Koltai Tamás,Győr,https://hu.wikipedia.org/wiki/Győr,1987.04.30
Koman Vladimir,Ungvár,https://hu.wikipedia.org/wiki/Ungvár,1989.03.16
Komáromi Tibor,Debrecen,https://hu.wikipedia.org/wiki/Debrecen,1930.05.28
Komjáti András,Győr,https://hu.wikipedia.org/wiki/Győr,1953.11.20
Komlósi Ádám,Kazincbarcika,https://hu.wikipedia.org/wiki/Kazincbarcika,1977.12.06
Komora Imre,Budapest,https://hu.wikipedia.org/wiki/Budapest,1940.06.05
Kompóti-Kléber Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1901.05.23
Konrád János,Hercegszentmárton,https://hu.wikipedia.org/wiki/Hercegszentmárton,1946.08.22
Konrád Jenő,Palánka,https://hu.wikipedia.org/wiki/Palánka,1894.08.13
Konrád Kálmán,Palánka,https://hu.wikipedia.org/wiki/Palánka,1896.05.23
Kónya József,Ercsi,https://hu.wikipedia.org/wiki/Ercsi,1920.03.06
Könyves Norbert,Zenta,https://hu.wikipedia.org/wiki/Zenta,1989.06.10
Koplárovics Béla,Barcs,https://hu.wikipedia.org/wiki/Barcs,1981.06.07
Korányi Lajos,Szeged,https://hu.wikipedia.org/wiki/Szeged,1907.05.15
Korányi Mátyás,Szeged,https://hu.wikipedia.org/wiki/Szeged,1910.02.24
Korcsmár Zsolt,Komló,https://hu.wikipedia.org/wiki/Komló,1989.01.09
Korhut Mihály,Miskolc,https://hu.wikipedia.org/wiki/Miskolc,1988.12.01
Koródy Károly,Látrány,https://hu.wikipedia.org/wiki/Látrány,1887.02.08
Korolovszky Gábor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1979.07.11
Korsós Attila,Győr,https://hu.wikipedia.org/wiki/Győr,1971.12.25
Korsós György,Győr,https://hu.wikipedia.org/wiki/Győr,1976.08.22
Korsós István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1941.07.30
Kósa Lajos,?,,1898.06.11
Kőszegi György,Budapest,https://hu.wikipedia.org/wiki/Budapest,1888.10.22
Koszta János,Sajószentpéter,https://hu.wikipedia.org/wiki/Sajószentpéter,1959.03.18
Kotász Antal,Vasvár,https://hu.wikipedia.org/wiki/Vasvár,1929.09.01
Kovács Attila,Pécs,https://hu.wikipedia.org/wiki/Pécs,1956.02.24
Kovács Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1952.08.09
Kovács Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1977.03.30
Kovács Elemér,Budapest,https://hu.wikipedia.org/wiki/Budapest,1890.06.30
Kovács Ervin,Bercel,https://hu.wikipedia.org/wiki/Bercel,1967.01.24
Kovács Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1934.01.07
Kovács Imre,Budapest,https://hu.wikipedia.org/wiki/Budapest,1921.11.26
Kovács Imre Pál,Győr,https://hu.wikipedia.org/wiki/Győr,1917.11.25
Kovács István,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1992.03.27
Kovács István,Salgótarján,https://hu.wikipedia.org/wiki/Salgótarján,1953.04.21
Kovács János,Temesvár,https://hu.wikipedia.org/wiki/Temesvár,1919.03.13
Kovács József,Balatonlelle,https://hu.wikipedia.org/wiki/Balatonlelle,1949.04.08
Kovács József,Veszprém,https://hu.wikipedia.org/wiki/Veszprém,1966.07.31
Kovács József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1923.07.29
